[2024-11-18 19:01:29] Clients Online: 1 | Messages Sent: 1
[2024-11-18 19:02:29] Clients Online: 3 | Messages Sent: 2
[2024-11-18 19:03:29] Clients Online: 3 | Messages Sent: 2
[2024-11-18 19:04:29] Clients Online: 1 | Messages Sent: 2
[2024-11-18 19:05:29] Clients Online: 1 | Messages Sent: 2
[2024-11-18 19:06:29] Clients Online: 1 | Messages Sent: 2
[2024-11-18 19:07:29] Clients Online: 1 | Messages Sent: 2
[2024-11-18 19:08:29] Clients Online: 1 | Messages Sent: 2
[2024-11-18 19:09:29] Clients Online: 1 | Messages Sent: 2
[2024-11-18 19:13:03] Utilizadores online: 3 | Mensagens enviadas: 0
[2024-11-18 19:14:03] Utilizadores online: 3 | Mensagens enviadas: 2
[2024-11-18 19:15:03] Utilizadores online: 3 | Mensagens enviadas: 1
[2024-11-18 19:16:03] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-18 19:17:03] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-18 19:18:03] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-18 19:19:03] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-18 19:20:03] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-18 19:21:03] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-18 19:22:03] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-18 19:23:03] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-18 19:25:03] Utilizadores online: 1 | Mensagens enviadas: 0
