[2024-11-18 19:01:29] Clients Online: 1 | Messages Sent: 1
[2024-11-18 19:02:29] Clients Online: 3 | Messages Sent: 2
[2024-11-18 19:03:29] Clients Online: 3 | Messages Sent: 2
[2024-11-18 19:04:29] Clients Online: 1 | Messages Sent: 2
[2024-11-18 19:05:29] Clients Online: 1 | Messages Sent: 2
[2024-11-18 19:06:29] Clients Online: 1 | Messages Sent: 2
[2024-11-18 19:07:29] Clients Online: 1 | Messages Sent: 2
[2024-11-18 19:08:29] Clients Online: 1 | Messages Sent: 2
[2024-11-18 19:09:29] Clients Online: 1 | Messages Sent: 2
[2024-11-18 19:13:03] Utilizadores online: 3 | Mensagens enviadas: 0
[2024-11-18 19:14:03] Utilizadores online: 3 | Mensagens enviadas: 2
[2024-11-18 19:15:03] Utilizadores online: 3 | Mensagens enviadas: 1
[2024-11-18 19:16:03] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-18 19:17:03] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-18 19:18:03] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-18 19:19:03] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-18 19:20:03] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-18 19:21:03] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-18 19:22:03] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-18 19:23:03] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-18 19:25:03] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-18 20:49:04] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 02:56:35] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 02:57:35] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 02:58:35] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 02:59:35] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:00:35] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:01:35] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:02:35] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:03:35] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:15:18] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 03:16:18] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:17:34] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:18:34] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:20:05] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:21:05] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:22:05] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:25:36] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:27:29] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:28:29] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:29:29] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:30:29] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:31:29] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 03:45:43] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 03:46:43] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 03:47:43] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 03:48:43] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:02:28] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 05:03:28] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 05:04:28] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 05:05:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:06:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:07:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:08:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:09:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:10:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:11:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:12:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:13:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:14:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:15:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:16:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:17:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:18:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:19:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:20:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:21:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:22:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:23:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:24:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:25:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:26:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:27:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:28:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:29:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:30:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:31:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:32:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:33:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:34:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:35:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:36:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:37:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:38:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:39:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:40:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:41:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:42:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:43:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:44:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:45:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:46:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:47:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:48:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:49:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:50:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:51:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:52:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:53:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:54:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:55:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:56:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:57:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:58:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 05:59:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 06:00:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 06:01:28] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 06:02:58] Utilizadores online: 1 | Mensagens enviadas: 1
[2024-11-19 06:03:58] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 06:04:58] Utilizadores online: 1 | Mensagens enviadas: 1
[2024-11-19 06:05:58] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 06:06:58] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 06:07:58] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 06:08:58] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 06:09:58] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 07:21:26] Utilizadores online: 1 | Mensagens enviadas: 1
[2024-11-19 07:22:26] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 07:25:06] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 07:32:22] Utilizadores online: 1 | Mensagens enviadas: 2
[2024-11-19 07:34:44] Utilizadores online: 0 | Mensagens enviadas: 1
[2024-11-19 07:35:44] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 14:24:04] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 14:25:04] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 14:26:04] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 14:32:12] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:33:12] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:34:12] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:35:12] Utilizadores online: 2 | Mensagens enviadas: 2
[2024-11-19 14:37:18] Utilizadores online: 2 | Mensagens enviadas: 1
[2024-11-19 14:38:18] Utilizadores online: 2 | Mensagens enviadas: 1
[2024-11-19 14:39:18] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:40:18] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:41:18] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:42:18] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:43:18] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:44:18] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:45:18] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:46:18] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:47:58] Utilizadores online: 2 | Mensagens enviadas: 1
[2024-11-19 14:48:58] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:49:58] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:50:58] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:51:58] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 14:53:37] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 14:54:37] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 14:55:37] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 14:56:37] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 14:58:44] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 14:59:44] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 15:00:44] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 15:01:44] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 15:03:27] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 15:04:27] Utilizadores online: 1 | Mensagens enviadas: 0
